"nombre","Precio","Grfico","Variacin","Capitalizacin de mercado","Volumen (24h)","Reserva","Comerciar"
"BitcoinBTC","59.228,67","","0,06%","1,2B","23,9milM","19,7M","Comerciar"
"EthereumETH","2853,92","","0,67%","342,6milM","10,8milM","120,1M","Comerciar"
"TetherUSDT","0,93","","0,01%","103,1milM","42,9milM","111,0milM","Comerciar"
"BNBBNB","551,78","","0,96%","81,4milM","1393,5M","147,6M",""
"SolanaSOL","143,73","","0,46%","64,4milM","2515,3M","448,1M","Comerciar"
"USDCUSDC  Gana hasta un 5,00% de APY","0,93","","","30,8milM","5191,8M","33,2milM","Comerciar"
"XRPXRP","0,50","","1,75%","27,7milM","1561,2M","55,2milM","Comerciar"
"DogecoinDOGE","0,15","","1,29%","20,9milM","1128,6M","144,2milM","Comerciar"
"ToncoinTON","5,46","","0,15%","19,0milM","152,2M","3473,4M","Comerciar"
"CardanoADA","0,42","","1,97%","15,0milM","292,7M","35,7milM","Comerciar"
"AvalancheAVAX","34,32","","2,72%","13,0milM","371,5M","380,6M","Comerciar"
"SHIBA INUSHIB","0,000022","","2,56%","13,0milM","403,5M","589,3B","Comerciar"
"TRONTRX","0,11","","1,17%","9794,0M","261,7M","87,5milM",""
"PolkadotDOT","6,69","","0,04%","9606,5M","163,9M","1438,0M","Comerciar"
"Bitcoin CashBCH","451,51","","2,44%","8865,5M","335,9M","19,7M","Comerciar"
"ChainlinkLINK","13,46","","1,75%","7913,0M","265,6M","587,1M","Comerciar"
"NEAR ProtocolNEAR","6,95","","2,25%","7415,0M","545,2M","1069,5M","Comerciar"
"PolygonMATIC","0,66","","2,66%","6525,4M","233,7M","9898,9M","Comerciar"
"LitecoinLTC","76,23","","0,49%","5671,3M","303,2M","74,5M","Comerciar"
"Internet ComputerICP","12,00","","2,42%","5565,3M","107,8M","463,5M","Comerciar"
"UNUS SED LEOLEO","5,36","","0,13%","4984,0M","1,8M","926,5M","Comerciar"
"DaiDAI","0,93","","0,02%","4966,3M","600,5M","5347,9M","Comerciar"
"Aave UNI V2aUNIv2","7,04","","0,30%","4217,8M","99,0M","598,9M","Comerciar"
"UniswapUNI","7,04","","0,22%","4217,9M","99,0M","598,9M","Comerciar"
"Render (ERC-20)RNDR","9,91","","6,75%","3837,2M","450,4M","388,6M","Comerciar"
"RenderRENDER","9,40","","5,69%","3837,2M","450,4M","388,6M","Comerciar"
"Ethereum ClassicETC","25,36","","0,55%","3726,8M","153,1M","146,9M","Comerciar"
"HederaHBAR","0,10","","2,87%","3719,6M","115,2M","35,7milM","Comerciar"
"AptosAPT","8,40","","1,42%","3599,0M","105,0M","428,3M","Comerciar"
"First Digital USDFDUSD","0,93","","0,05%","3583,8M","6688,6M","3859,5M","Comerciar"
